group_index,prev_code_path,prev_code_sha10,missing_ops,json_path,n_ops
00002_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00002_index_1_step1.py,,skipped_exists,,
00002_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00002_index_2.json,
00002_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00002_index_2_step1.py,,skipped_exists,,
00003_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_2_step1.py,,skipped_exists,,
00003_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_3_step1.py,,skipped_exists,,
00003_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_3_step1.py,,skipped_exists,,
00003_index_4/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00003_index_4.json,
00003_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_4_step1.py,,skipped_exists,,
00003_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_4_step1.py,,skipped_exists,,
00003_index_4/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_4_step2.py,,skipped_exists,,
00003_index_5/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_5_step1.py,,skipped_exists,,
00003_index_5/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_5_step2.py,,skipped_exists,,
00003_index_5/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_5_step3.py,,skipped_exists,,
00003_index_6/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_6_step2.py,,skipped_exists,,
00003_index_6/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00003_index_6_step3.py,,skipped_exists,,
00004_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_2_step1.py,,skipped_exists,,
00004_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_3_step1.py,,skipped_exists,,
00004_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_3_step1.py,,skipped_exists,,
00004_index_4/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00004_index_4.json,
00004_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_4_step1.py,,skipped_exists,,
00004_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_4_step1.py,,skipped_exists,,
00004_index_4/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_4_step2.py,,skipped_exists,,
00004_index_5/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_5_step1.py,,skipped_exists,,
00004_index_5/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_5_step2.py,,skipped_exists,,
00004_index_5/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_5_step3.py,,skipped_exists,,
00004_index_6/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_6_step2.py,,skipped_exists,,
00004_index_6/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00004_index_6_step3.py,,skipped_exists,,
00006_index_1/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00006_index_1.json,
00006_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00006_index_2.json,
00006_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00006_index_2_step1.py,,skipped_exists,,
00007_index_3/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00007_index_3.json,
00007_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00007_index_3_step1.py,,skipped_exists,,
00007_index_3/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00007_index_3_step2.py,,skipped_exists,,
00007_index_4/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00007_index_4.json,
00007_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00007_index_4_step1.py,,skipped_exists,,
00007_index_4/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00007_index_4_step2.py,,skipped_exists,,
00007_index_4/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00007_index_4_step3.py,,skipped_exists,,
00007_index_5/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00007_index_5_step1.py,,skipped_exists,,
00007_index_5/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00007_index_5_step2.py,,skipped_exists,,
00007_index_5/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00007_index_5_step3.py,,skipped_exists,,
00008_index_1/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00008_index_1.json,
00009_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00009_index_1_step1.py,,skipped_exists,,
00009_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00009_index_2.json,
00009_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00009_index_2_step1.py,,skipped_exists,,
00009_index_2/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00009_index_2_step2.py,,skipped_exists,,
00009_index_2/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00009_index_2_step3.py,,skipped_exists,,
00009_index_3/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00009_index_3.json,
00009_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00009_index_3_step1.py,,skipped_exists,,
00009_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00009_index_3_step1.py,,skipped_exists,,
00009_index_3/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00009_index_3_step3.py,,skipped_exists,,
00009_index_3/step4,/home/baiyixue/project/op-cad/data/pre_code_cop/00009_index_3_step4.py,,skipped_exists,,
00010_index_1/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00010_index_1.json,
00011_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00011_index_2.json,
00011_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00011_index_2_step1.py,,skipped_exists,,
00011_index_3/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00011_index_3.json,
00011_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00011_index_3_step1.py,,skipped_exists,,
00011_index_3/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00011_index_3_step2.py,,skipped_exists,,
00011_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00011_index_4_step1.py,,skipped_exists,,
00011_index_4/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00011_index_4_step2.py,,skipped_exists,,
00012_index_1/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00012_index_1.json,
00012_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00012_index_2_step1.py,,skipped_exists,,
00012_index_3/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00012_index_3_step2.py,,skipped_exists,,
00013_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00013_index_1_step1.py,,skipped_exists,,
00013_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00013_index_1_step1.py,,skipped_exists,,
00013_index_3/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00013_index_3.json,
00013_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00013_index_3_step1.py,,skipped_exists,,
00013_index_4/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00013_index_4.json,
00013_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00013_index_4_step1.py,,skipped_exists,,
00013_index_5/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00013_index_5_step1.py,,skipped_exists,,
00014_index_1/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00014_index_1.json,
00014_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00014_index_1_step1.py,,skipped_exists,,
00014_index_1/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00014_index_1_step2.py,,skipped_exists,,
00014_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00014_index_3_step1.py,,skipped_exists,,
00014_index_3/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00014_index_3_step2.py,,skipped_exists,,
00014_index_4/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00014_index_4.json,
00014_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00014_index_4_step1.py,,skipped_exists,,
00014_index_4/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00014_index_4_step2.py,,skipped_exists,,
00014_index_4/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00014_index_4_step3.py,,skipped_exists,,
00015_index_1/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00015_index_1.json,
00015_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00015_index_2_step1.py,,skipped_exists,,
00016_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00016_index_1_step1.py,,skipped_exists,,
00016_index_3/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00016_index_3.json,
00016_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00016_index_3_step1.py,,skipped_exists,,
00016_index_3/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00016_index_3_step2.py,,skipped_exists,,
00016_index_4/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00016_index_4.json,
00016_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00016_index_4_step1.py,,skipped_exists,,
00016_index_4/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00016_index_4_step2.py,,skipped_exists,,
00017_index_1/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00017_index_1.json,
00017_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00017_index_2.json,
00017_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00017_index_2_step1.py,,skipped_exists,,
00017_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00017_index_3_step1.py,,skipped_exists,,
00018_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_1_step1.py,,skipped_exists,,
00018_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00018_index_2.json,
00018_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_2_step1.py,,skipped_exists,,
00018_index_2/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_2_step2.py,,skipped_exists,,
00018_index_3/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_3_step3.py,,skipped_exists,,
00018_index_4/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00018_index_4.json,
00018_index_4/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_4_step1.py,,skipped_exists,,
00018_index_4/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_4_step2.py,,skipped_exists,,
00018_index_4/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_4_step3.py,,skipped_exists,,
00018_index_4/step4,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_4_step4.py,,skipped_exists,,
00018_index_4/step5,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_4_step5.py,,skipped_exists,,
00018_index_4/step6,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_4_step6.py,,skipped_exists,,
00018_index_4/step7,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_4_step7.py,,skipped_exists,,
00018_index_4/step8,/home/baiyixue/project/op-cad/data/pre_code_cop/00018_index_4_step8.py,,skipped_exists,,
00019_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_1_step1.py,,skipped_exists,,
00019_index_1/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_1_step2.py,,skipped_exists,,
00019_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00019_index_2.json,
00019_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_2_step1.py,,skipped_exists,,
00019_index_4/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_4_step2.py,,skipped_exists,,
00019_index_4/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_4_step3.py,,skipped_exists,,
00019_index_5/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00019_index_5.json,
00019_index_5/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_5_step1.py,,skipped_exists,,
00019_index_5/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_5_step2.py,,skipped_exists,,
00019_index_5/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_5_step3.py,,skipped_exists,,
00019_index_5/step4,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_5_step4.py,,skipped_exists,,
00019_index_6/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_6_step2.py,,skipped_exists,,
00019_index_6/step3,/home/baiyixue/project/op-cad/data/pre_code_cop/00019_index_6_step3.py,,skipped_exists,,
00020_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00020_index_1_step1.py,,skipped_exists,,
00020_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00020_index_2.json,
00020_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00020_index_2_step1.py,,skipped_exists,,
00021_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00021_index_1_step1.py,,skipped_exists,,
00021_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00021_index_2.json,
00021_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00021_index_2_step1.py,,skipped_exists,,
00021_index_3/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00021_index_3.json,
00021_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00021_index_3_step1.py,,skipped_exists,,
00021_index_3/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00021_index_3_step2.py,,skipped_exists,,
00022_index_1/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00022_index_1_step1.py,,skipped_exists,,
00022_index_2/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00022_index_2.json,
00022_index_2/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00022_index_2_step1.py,,skipped_exists,,
00022_index_3/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00022_index_3.json,
00022_index_3/step1,/home/baiyixue/project/op-cad/data/pre_code_cop/00022_index_3_step1.py,,skipped_exists,,
00022_index_3/step2,/home/baiyixue/project/op-cad/data/pre_code_cop/00022_index_3_step2.py,,skipped_exists,,
00023_index_1/step0,,,[START],/data/baiyixue/CAD/cleaned_json/00023_index_1.json,
